mousePointsCount,avgSpeed,speedStdDev,accelStdDev,jitterCount,angleStd,diffScore,hoverTime,hesitation,clickLatency,clickOffset,isChecked,label
72,0.2140478348687132,0.3405793010449554,0.3270070316095315,12,0.9547317403139436,1.1666787764747075,767,11,0,40.99019213714959,0,1
85,0.2474323234620695,0.31143313558194,0.2568249926893452,32,1.7223609250695748,1.2943565878028496,0,1033,0,41.8795056945956,1,0
136,0.5369604646377185,0.907872354780054,0.6423981563934282,45,0.7299220821733982,0.5966209518757726,1109,991,712,140.86323330389064,1,0
100,0.6635729118286131,1.5856233787518723,0.7921865947098254,45,0.7136783629836345,0.9604468174581708,0,182,0,87.04568121909686,1,0
62,0.1480123462599331,0.1334673824078142,0.0625001867962101,10,1.1980302554148026,2.4922338333324983,0,11,0,43.689190321544736,1,1
62,0.1222815534546111,0.1448340127195589,0.1876876924980682,6,1.1575318301837163,2.574426866940721,0,15,0,42.92896299291972,0,1
112,0.423904460912394,0.8465741378369572,0.6836764133552414,50,0.7022356945561062,0.6242524624990152,867,4,481,100.30429256606062,1,0
63,0.110166766638945,0.0681026304716287,0.0450367129249527,2,0.5326625701551739,0.3782994839585167,0,1053,0,188.02199833343929,1,1
137,0.4444065551119116,1.0700544158303018,0.4574730715865102,49,0.947593484659096,0.5761673214579986,0,87873,0,36.55416621215867,1,0
152,0.5555583674516347,1.211001363566799,0.5712358461521879,54,0.9017873289672944,0.5187643301817914,1017,283,761,47.47439509459252,1,0
142,0.5867750013515974,1.030385567155846,0.6758208986603063,40,0.5621986352933819,1.001464248024759,1121,400,743,42.80493709814194,1,0
59,0.1520677103638801,0.1316566759984264,0.0582387000916803,5,1.2264561656800022,1.1283010468512409,0,13,0,47.00420544578808,1,1
128,0.9488508097767112,2.0914890836322195,1.136336979203963,48,0.8814125102554478,0.8977054477053131,763,150,389,36.98402634727943,1,0
61,0.150345928918264,0.1352502023276341,0.0684506124694359,10,1.0886051984762708,2.9274655745677416,0,13,0,44.06750898224678,1,1
84,0.2430799569597177,0.4362537875821886,0.4113889968543756,35,1.6498058464407137,6.507215216323097,0,423,0,38.35801653296602,1,0
137,0.2638197231208249,0.2737204870179442,0.1980291803769535,35,1.29529610180246,0.8677711290650356,0,659,0,41.75661876839147,1,0
63,0.1329417616521091,0.1250936912313765,0.0810369512186754,10,1.104837535618516,2.0933351539454708,1532,19,0,41.95885910679597,1,1
61,0.1762002702853267,0.1795814908679873,0.1799206537037381,8,1.1598847318983014,1.7361882809856204,1316,16,0,42.70006867878961,1,1
32,0.2353843573255275,0.0671725271654476,0.0773038906296331,1,0.4099379100553653,1.6728956495234646,0,16,0,29.98492620568803,0,1
348,0.1990017137740833,0.3062253638293155,0.2047432779236388,166,1.735066742619646,0.7744080518793217,2835,350,0,41.51711425242792,1,0
60,0.1581538747142269,0.1424008373163418,0.0632104769853032,10,1.2220866041007517,1.303251598808026,1335,16,0,43.47465782272178,1,1
58,0.1422880186905641,0.1242664047768733,0.0729985168415575,8,1.2868617534736304,1.0073025554633048,849,17,0,40.750409236795626,1,1
78,1.0111173057616585,3.6667332268190176,4.482012647337164,14,0.3766922545051385,2.797766555058782,1434,19,0,41.72464330668189,1,1
387,0.7526312241087036,1.7275469487949475,1.0183319917560651,127,0.846331089446151,0.7136694553091278,0,161,0,41.205262933788994,1,0
130,1.0266100889247036,1.4821310648667527,1.1580099237193833,35,0.8375641428975492,1.3660059584608937,816,5,517,50.38558400073892,1,0
62,0.1667374431200568,0.157998014880398,0.0914216829553827,6,1.0842070040609333,1.4298361357033589,766,17,0,42.70006867878961,0,1
96,0.4230885839056892,0.5212163913827285,0.409029560294931,23,0.4625386372623115,3.9946422831275776,0,36696,0,72.43100878722936,1,0
63,0.1540457390565768,0.1435852452940523,0.0855410111134818,11,0.4949531928646024,2.7801374644538006,1418,10,0,43.67660553748271,1,1
357,0.8121145465586069,1.3409380098055546,0.8462584863632554,77,0.5695593791385722,0.5489750653183724,1195,277,758,47.47439509459252,1,0
62,0.1703219403785262,0.1582040446005464,0.0879143727952879,8,0.9586940454230436,1.9565042419603085,883,21,0,43.90040853740414,0,1
232,0.6170417187600289,1.217573830538157,0.8314853921810033,77,0.8701347899880452,2.6182700337911267,0,337,0,35.19791128855081,1,0
62,0.1484629630239711,0.1241041382536777,0.0628675004791785,2,0.5837991689506842,2.257281826112811,0,16,0,43.9954075271942,0,1
132,0.7038383469399683,1.6954835896397626,0.8409466963543417,34,0.6367028813702353,1.192788587563054,68,5,3269,54.62077561352776,1,0
109,0.1545739796201923,0.1211084774629228,0.1210230203233736,29,0.9814429653988116,1.6233440420327634,764,16,0,43.67660553748271,0,1
63,0.080878688250586,0.0374687690221616,0.0335129428062765,3,0.6126471078263019,0.8762329476943426,0,25,0,188.43479477451584,1,1
190,0.7858890558920839,2.0032307334801134,1.4965966248481783,48,0.5513236321935626,0.4364985533914171,301,308,994,161.72399616717195,1,0
153,0.5294672139313908,0.976129868153751,0.7032176776675966,29,0.6862875778898959,0.6523295676675899,0,565,0,44.62004638294152,1,0
93,0.2189160830182488,0.2881362669277306,0.1358618878596767,37,0.9564646139332668,5.243966741575568,0,320,0,44.59678982757735,1,0
80,0.8350843295282674,2.1355364467261446,1.233340490498369,34,2.4002647546052,0.7508253014155448,0,26937,0,43.74171298922207,1,0
207,0.6038666058641727,1.1107324565460606,0.8558767799479934,60,0.7533366796377071,5.539881283597191,0,437,0,41.45930192768408,1,0
63,0.1568527282511207,0.1419596440308104,0.0788062338465939,5,0.7138134019025071,2.0252621178042403,0,21,0,42.49348028461812,0,1
109,0.7431376372616593,1.6832031860332697,0.8942254959914041,38,0.689700311669807,0.972748345270084,0,2700,0,43.0811417841619,1,0
416,1.2135403572573566,1.914596138275344,1.36385464287623,89,0.6301038332423232,2.876958952164635,892,240,0,42.73761966480822,1,0
71,0.0711551434827983,0.0462224377244892,0.0295273199601214,3,0.6715993639673332,1.3323716058700286,0,17,0,188.62017910913752,1,1
62,0.1465741633532699,0.1326731699435764,0.0634284577166575,11,1.7721624068087127,2.720072329142882,1431,20,0,43.47465782272178,1,1
